interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,graph_degree,pagerank,betweenness,closeness,component
0.5527123,False,False,True,222.0,28.0,38.0,66.0,1621.0,0.000342974015188,0.0005704343186035,0.6045968056096611,0.0
0.21697384,False,False,False,114.0,32.0,22.0,54.0,1412.0,0.0003367205626417,0.0008377237533867,0.5893670886075949,0.0
0.05458178,False,False,True,8091.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0
0.03821519,False,False,True,2580.0,0.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0
1.1668371,False,False,False,42.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
5.8341856,False,False,False,140.0,12.0,9.0,21.0,812.0,0.0002150775940029,0.0001676039678599,0.5471210340775559,0.0
0.076765604,False,False,False,104.0,100.0,36.0,136.0,2548.0,0.0005042932757025,0.0009522660684719,0.6883500887049083,0.0
0.36977234,False,False,True,1928.0,113.0,70.0,183.0,3703.0,0.000751892634853,0.0049556681986491,0.8300944909966126,0.0
0.34544522,False,False,True,1933.0,11.0,19.0,30.0,1406.0,0.000275037255711,6.129070694774174e-05,0.5889198077409562,0.0
0.1598407,False,False,True,3132.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0
0.3646366,False,False,True,330.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
0.1630673,False,False,False,246.0,11.0,23.0,34.0,1607.0,0.0003395617617715,0.0012422956984682,0.6042829331602855,0.0
0.2302968,False,False,True,739.0,142.0,76.0,218.0,2481.0,0.0004938481813868,0.0010133636636747,0.681598594642073,0.0
0.45461187,False,False,False,1723.0,82.0,21.0,103.0,2164.0,0.0004109775375094,0.0003368929417651,0.6513710128707331,0.0
1.1054246,False,False,True,587.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0
0.08579685,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.751279,False,False,False,266.0,8.0,2.0,10.0,1267.0,0.0002575012587256,7.582425923126122e-05,0.5780260707635009,0.0
0.16511846,False,False,False,126.0,116.0,52.0,168.0,2881.0,0.0005901590396899,0.0020573139762783,0.7239931581402581,0.0
0.61055434,False,False,True,1902.0,38.0,85.0,123.0,1542.0,0.0002971657859282,7.703166866014727e-05,0.5992277992277992,0.0
0.24309108,False,False,False,306.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0
1.0097629,False,False,True,98.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.054187484,False,False,False,1916.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0
2.2503288,False,False,False,85.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
0.15443432,False,False,True,22.0,15.0,84.0,99.0,1676.0,0.0003183036333847,0.0001349682886025,0.6097433211105291,0.0
0.70956314,False,False,False,8091.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0
0.031254567,False,False,False,156.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0
0.22062047,False,False,False,86.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
1.3463506,False,False,True,138.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
0.29955477,False,False,True,978.0,18.0,408.0,426.0,2216.0,0.0004334803697073,0.0007262233211308,0.6561443066516347,0.0
0.41672754,False,False,True,1480.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0
0.0575742,False,False,False,1718.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0
1.3126918,False,False,True,136.0,30.0,4.0,34.0,2611.0,0.0005000177621287,0.0011193665568154,0.6948216684077003,0.0
0.12154554,False,False,False,3208.0,0.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0
6.563459,False,False,False,400.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.016047576,False,False,True,978.0,18.0,408.0,426.0,2216.0,0.0004334803697073,0.0007262233211308,0.6561443066516347,0.0
1.9447286,False,False,True,170.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
0.048618212,False,False,True,257.0,6.0,45.0,51.0,1043.0,0.0002091270178017,0.0,0.562386761686194,0.0
0.41021618,False,False,True,7515.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0
