gene_symbol,mutation_count,pathway_count,drug_count,degree
ABCB7;NEXMIF,1,0.0,0.0,0
ABCB7;NEXMIF;RLIM,1,0.0,0.0,0
ABCB7;NEXMIF;RLIM;SLC16A2,1,0.0,0.0,0
ABCB7;UPRT,1,0.0,0.0,0
ABCB8,306,3.0,0.0,3
ABCB9,332,2.0,0.0,2
ABCC1,547,0.0,61.0,61
ABCC10,500,0.0,6.0,6
ABCC11,526,0.0,0.0,0
ABCC11;ABCC12;LONP2;N4BP1;SIAH1,1,0.0,0.0,0
ABCC12,427,0.0,0.0,0
ABCC1;ABCC6,6,0.0,0.0,0
ABCC1;ABCC6;BMERB1;CEP20;MARF1;MPV17L;MYH11;NDE1,6,0.0,0.0,0
ABCC1;ABCC6;BMERB1;CEP20;MARF1;MPV17L;MYH11;NDE1;NOMO3,10,0.0,0.0,0
ABCC1;ABCC6;BMERB1;CEP20;MARF1;MPV17L;MYH11;NDE1;NPIPA5,2,0.0,0.0,0
ABCC1;ABCC6;BMERB1;CEP20;MARF1;MYH11;NDE1,8,0.0,0.0,0
ABCC1;ABCC6;BMERB1;CEP20;MARF1;MYH11;NDE1;NOMO3,7,0.0,0.0,0
ABCC1;ABCC6;BMERB1;CEP20;MARF1;MYH11;NDE1;NOMO3;XYLT1,5,0.0,0.0,0
ABCC1;ABCC6;CEP20;LOC112340382;LOC121587532;LOC125146420;LOC125146421;LOC126862300;MYH11,1,0.0,0.0,0
ABCC1;ABCC6;CEP20;MARF1;MYH11;NDE1,2,0.0,0.0,0
ABCC1;ABCC6;CEP20;MYH11,1,0.0,0.0,0
ABCC1;ABCC6;CEP20;MYH11;NDE1,1,0.0,0.0,0
ABCC1;ABCC6;CEP20;MYH11;NDE1;NOMO3;XYLT1,1,0.0,0.0,0
ABCC1;ABCC6;CEP20;MYH11;NOMO3,1,0.0,0.0,0
ABCC1;ABCC6;LOC125146420;LOC125146421,1,0.0,0.0,0
ABCC1;ABCC6;NOMO3,2,0.0,0.0,0
ABCC1;BMERB1;CEP20;MARF1;MPV17L;MYH11;NDE1;NPIPA5,1,0.0,0.0,0
ABCC1;BMERB1;CEP20;MARF1;MYH11;NDE1,1,0.0,0.0,0
ABCC2,2629,13.0,48.0,61
ABCC3,506,0.0,28.0,28
ABCC4,439,9.0,31.0,40
ABCC4;CLDN10,5,0.0,0.0,0
ABCC4;LOC130009962;LOC130009963;LOC130009964,2,0.0,0.0,0
ABCC4;LOC130009962;LOC130009963;LOC130009964;LOC130009965;LOC130009966,2,0.0,0.0,0
ABCC5,350,9.0,10.0,19
ABCC5-AS1,2,0.0,0.0,0
ABCC6,3687,0.0,60.0,60
