gene_symbol,drug_name,interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,target
MCHR1,AZD5991,2.5003653,False,False,False,198.0,13.0,7.0,20.0,0
MTOR,OSI-027,0.16434325,False,False,True,6134.0,45.0,141.0,186.0,1
NUAK1,WZ4003,3.750548,False,False,False,176.0,0.0,7.0,7.0,0
IDH1,AGI-5198,0.29955477,False,False,True,978.0,18.0,408.0,426.0,0
MAP2K1,SCH772984,0.41672754,False,False,True,1480.0,0.0,76.0,76.0,1
NRAS,SCH772984,0.14114965,False,False,True,697.0,0.0,124.0,124.0,1
RPTOR,OSI-027,0.3646366,False,False,True,330.0,0.0,15.0,15.0,1
BIRC6,LCL161,3.750548,False,False,True,1436.0,0.0,2.0,2.0,0
CDK18,AZD5438,0.43756393,False,False,True,224.0,0.0,5.0,5.0,1
CDK12,AZD5438,0.14585464,False,False,True,3539.0,0.0,15.0,15.0,1
NAIP,LCL161,3.750548,False,False,True,76.0,0.0,2.0,2.0,0
RICTOR,AZD8055,1.1540147,False,False,True,386.0,32.0,6.0,38.0,1
BIRC2,LCL161,0.3750548,False,False,True,194.0,36.0,20.0,56.0,0
ATM,AZD6482,0.1598407,False,False,False,38894.0,0.0,73.0,73.0,0
PIK3CD,AMG-319,0.8334551,False,False,False,2094.0,0.0,62.0,62.0,0
CDK1,AZD5438,0.042898424,False,False,True,50.0,0.0,50.0,50.0,1
CDK11B,AZD5438,0.12869528,False,False,True,67.0,0.0,17.0,17.0,1
CDK5,AZD5438,0.049723174,False,False,True,174.0,41.0,43.0,84.0,1
CDK19,AZD5438,0.14585464,False,False,True,223.0,12.0,15.0,27.0,1
CDK3,AZD5438,0.3646366,False,False,True,70.0,0.0,6.0,6.0,1
PRMT5,GSK591,5.8341856,False,False,False,140.0,12.0,9.0,21.0,0
CHEK1,AZD7762,0.5527123,False,False,True,222.0,28.0,38.0,66.0,1
BIRC3,LCL161,0.35719505,False,False,True,158.0,28.0,21.0,49.0,0
EEF1G,ZM447439,0.08128122,False,False,False,120.0,7.0,34.0,41.0,0
DPH1,BMS-754807,2.7635617,False,False,False,328.0,4.0,19.0,23.0,1
F9,AZD1208,0.27635616,False,False,False,1372.0,25.0,38.0,63.0,0
BRAF,BI-2536,0.0785455,False,False,True,3123.0,0.0,188.0,188.0,1
HRAS,SCH772984,0.2302968,False,False,True,739.0,142.0,76.0,218.0,1
JAK2,AZ960,0.85610336,False,False,False,603.0,0.0,92.0,92.0,1
PIK3CA,AZD6482,0.027010119,False,False,False,3208.0,0.0,215.0,215.0,0
FLT3,AGI-5198,0.21608095,False,False,True,486.0,46.0,162.0,208.0,0
GPX1P2,AGI-5198,2.9170928,False,False,True,0.0,0.0,0.0,0.0,0
MTOR,AZD8055,0.028444026,False,False,True,6134.0,45.0,141.0,186.0,1
MLST8,OSI-027,1.4585464,False,False,True,98.0,0.0,4.0,4.0,1
RICTOR,OSI-027,0.8334551,False,False,True,386.0,32.0,6.0,38.0,1
AKT1S1,OSI-027,1.4585464,False,False,True,140.0,0.0,4.0,4.0,1
CHEK1,AZD7762,0.5527123,False,False,True,222.0,28.0,38.0,66.0,1
F5,AZD6482,0.065552644,False,False,False,2918.0,25.0,89.0,114.0,0
BRAF,SCH772984,0.3665457,False,False,True,3123.0,0.0,188.0,188.0,1
